ANO CENSO,QUANTIDADE,ID CATEGORIA ADMINISTRATIVA,CATEGORIA ADMINISTRATIVA,SUB CATEGORIA ADMINISTRATIVA,REGIÃO,UF,DADO
2017,13364,3,PÚBLICA,MUNICIPAL,SUDESTE,SÃO PAULO,INGRESSO
2017,463,3,PÚBLICA,MUNICIPAL,SUL,PARANÁ,INGRESSO
2017,3007,3,PÚBLICA,MUNICIPAL,SUL,SANTA CATARINA,INGRESSO
2017,80175,4,PRIVADA,PRIVADA,CENTRO-OESTE,DISTRITO FEDERAL,INGRESSO
2017,77492,4,PRIVADA,PRIVADA,CENTRO-OESTE,GOIÁS,INGRESSO
2017,54768,4,PRIVADA,PRIVADA,CENTRO-OESTE,MATO GROSSO,INGRESSO
2017,46309,4,PRIVADA,PRIVADA,CENTRO-OESTE,MATO GROSSO DO SUL,INGRESSO
2017,26397,4,PRIVADA,PRIVADA,NORDESTE,ALAGOAS,INGRESSO
2017,129956,4,PRIVADA,PRIVADA,NORDESTE,BAHIA,INGRESSO
2017,67748,4,PRIVADA,PRIVADA,NORDESTE,CEARÁ,INGRESSO
2017,46358,4,PRIVADA,PRIVADA,NORDESTE,MARANHÃO,INGRESSO
2017,32718,4,PRIVADA,PRIVADA,NORDESTE,PARAÍBA,INGRESSO
2017,76355,4,PRIVADA,PRIVADA,NORDESTE,PERNAMBUCO,INGRESSO
2017,25945,4,PRIVADA,PRIVADA,NORDESTE,PIAUÍ,INGRESSO
2017,27948,4,PRIVADA,PRIVADA,NORDESTE,RIO GRANDE DO NORTE,INGRESSO
2017,21107,4,PRIVADA,PRIVADA,NORDESTE,SERGIPE,INGRESSO
2017,9591,4,PRIVADA,PRIVADA,NORTE,ACRE,INGRESSO
2017,17672,4,PRIVADA,PRIVADA,NORTE,AMAPÁ,INGRESSO
2017,47927,4,PRIVADA,PRIVADA,NORTE,AMAZONAS,INGRESSO
2017,85023,4,PRIVADA,PRIVADA,NORTE,PARÁ,INGRESSO
2017,25046,4,PRIVADA,PRIVADA,NORTE,RONDÔNIA,INGRESSO
2017,8261,4,PRIVADA,PRIVADA,NORTE,RORAIMA,INGRESSO
2017,18851,4,PRIVADA,PRIVADA,NORTE,TOCANTINS,INGRESSO
2017,46728,4,PRIVADA,PRIVADA,SUDESTE,ESPÍRITO SANTO,INGRESSO
2017,249919,4,PRIVADA,PRIVADA,SUDESTE,MINAS GERAIS,INGRESSO
2017,214421,4,PRIVADA,PRIVADA,SUDESTE,RIO DE JANEIRO,INGRESSO
2017,759644,4,PRIVADA,PRIVADA,SUDESTE,SÃO PAULO,INGRESSO
2017,160607,4,PRIVADA,PRIVADA,SUL,PARANÁ,INGRESSO
2017,158571,4,PRIVADA,PRIVADA,SUL,RIO GRANDE DO SUL,INGRESSO
2017,120494,4,PRIVADA,PRIVADA,SUL,SANTA CATARINA,INGRESSO
