ANO CENSO,QUANTIDADE,ID CATEGORIA ADMINISTRATIVA,CATEGORIA ADMINISTRATIVA,SUB CATEGORIA ADMINISTRATIVA,REGIÃO,UF,DADO
2017,1198,3,PÚBLICA,MUNICIPAL,SUDESTE,MINAS GERAIS,MATRICULADO
2017,1191,3,PÚBLICA,MUNICIPAL,SUDESTE,RIO DE JANEIRO,MATRICULADO
2017,46309,3,PÚBLICA,MUNICIPAL,SUDESTE,SÃO PAULO,MATRICULADO
2017,1610,3,PÚBLICA,MUNICIPAL,SUL,PARANÁ,MATRICULADO
2017,11866,3,PÚBLICA,MUNICIPAL,SUL,SANTA CATARINA,MATRICULADO
2017,184118,4,PRIVADA,PRIVADA,CENTRO-OESTE,DISTRITO FEDERAL,MATRICULADO
2017,184890,4,PRIVADA,PRIVADA,CENTRO-OESTE,GOIÁS,MATRICULADO
2017,120389,4,PRIVADA,PRIVADA,CENTRO-OESTE,MATO GROSSO,MATRICULADO
2017,93582,4,PRIVADA,PRIVADA,CENTRO-OESTE,MATO GROSSO DO SUL,MATRICULADO
2017,63522,4,PRIVADA,PRIVADA,NORDESTE,ALAGOAS,MATRICULADO
2017,321661,4,PRIVADA,PRIVADA,NORDESTE,BAHIA,MATRICULADO
2017,192148,4,PRIVADA,PRIVADA,NORDESTE,CEARÁ,MATRICULADO
2017,109090,4,PRIVADA,PRIVADA,NORDESTE,MARANHÃO,MATRICULADO
2017,83354,4,PRIVADA,PRIVADA,NORDESTE,PARAÍBA,MATRICULADO
2017,183090,4,PRIVADA,PRIVADA,NORDESTE,PERNAMBUCO,MATRICULADO
2017,71649,4,PRIVADA,PRIVADA,NORDESTE,PIAUÍ,MATRICULADO
2017,65469,4,PRIVADA,PRIVADA,NORDESTE,RIO GRANDE DO NORTE,MATRICULADO
2017,55151,4,PRIVADA,PRIVADA,NORDESTE,SERGIPE,MATRICULADO
2017,25294,4,PRIVADA,PRIVADA,NORTE,ACRE,MATRICULADO
2017,35071,4,PRIVADA,PRIVADA,NORTE,AMAPÁ,MATRICULADO
2017,114506,4,PRIVADA,PRIVADA,NORTE,AMAZONAS,MATRICULADO
2017,178388,4,PRIVADA,PRIVADA,NORTE,PARÁ,MATRICULADO
2017,63662,4,PRIVADA,PRIVADA,NORTE,RONDÔNIA,MATRICULADO
2017,16349,4,PRIVADA,PRIVADA,NORTE,RORAIMA,MATRICULADO
2017,44546,4,PRIVADA,PRIVADA,NORTE,TOCANTINS,MATRICULADO
2017,121776,4,PRIVADA,PRIVADA,SUDESTE,ESPÍRITO SANTO,MATRICULADO
2017,635881,4,PRIVADA,PRIVADA,SUDESTE,MINAS GERAIS,MATRICULADO
2017,520403,4,PRIVADA,PRIVADA,SUDESTE,RIO DE JANEIRO,MATRICULADO
2017,1686567,4,PRIVADA,PRIVADA,SUDESTE,SÃO PAULO,MATRICULADO
2017,379440,4,PRIVADA,PRIVADA,SUL,PARANÁ,MATRICULADO
2017,399638,4,PRIVADA,PRIVADA,SUL,RIO GRANDE DO SUL,MATRICULADO
2017,291143,4,PRIVADA,PRIVADA,SUL,SANTA CATARINA,MATRICULADO
